19 74
1 2 18
1 6 57
1 7 46
1 9 48
1 12 2
1 13 41
1 19 43
2 5 86
2 7 91
2 10 82
2 13 62
2 14 44
3 4 96
3 8 22
3 17 69
3 19 12
4 5 55
4 8 19
4 10 21
4 15 95
4 17 28
4 19 82
5 8 48
5 9 6
5 10 41
5 11 16
5 14 17
5 16 9
5 18 19
5 19 99
6 7 26
6 10 89
6 12 7
6 14 82
6 15 45
6 17 75
6 18 83
6 19 25
7 9 6
7 11 65
7 14 49
8 9 25
8 10 17
8 11 18
8 12 35
8 15 66
8 17 78
8 19 8
9 12 5
9 16 32
9 18 39
10 12 96
10 13 40
10 14 39
10 15 51
10 16 61
10 17 53
10 18 70
10 19 72
11 12 77
11 14 72
11 16 45
11 19 35
12 15 48
12 16 51
12 17 74
12 19 62
13 14 73
13 16 53
13 17 52
14 19 43
15 18 60
16 17 85
16 18 26
